id,tweet_id,text,historical_reply,intent,resolution,escalate,label_notes
11,159565,@AppleSupport  I've noticed a steady deterioration in the battery life of my iPad Air 2 running iOS 11. It's three years old. Is there a way to run a diagnostics test to determine the battery condition?,@152734 Let's check this out together. Send us a DM with more details about this and we'll work from there: https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
12,87027,@AppleSupport Left home 20 minutes ago with full battery. Now on 28%. What a pile of 💩 your latest IOS is. And in the rind I’ve typed this tweet I’ve lost another 3 %.,"@135044 We can help out with battery life!  What iOS version is the device on, and which device are you currently using?",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
13,193686,@AppleSupport It’s every thing from text WhatsApp to Facebook and maps,"@161543 Gotcha. Let's work together via DM. Please click here to continue, then share your iOS version (Settings &gt; General &gt; About): https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
14,11101,"@115858  @AppleSupport music and podcast “skip” around like a CD, then distorts and clears up in few seconds, only happens after iOS 11","@118095 We're here to help. Did this happen after a specific update, or just recently? Thanks!",device_or_software,Ask the customer to check the relevant software update and provide device details for further troubleshooting.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
15,82042,"@AppleSupport Hi! When someone calls, the volume of the tone of my iPhone X goes down suddenly. Why? 🤔
I’ve tried to restart, to change the tone... And nothing works. 
Thanks for your help","@134156 We appreciate you reaching out. Can you send us a DM and explain a little more in detail? When you say the volume of the tone, do you mean the ringtone? https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
16,154429,@AppleSupport I ran a 5K yesterday and didn’t get my achievement award https://t.co/0I4d2SCw3Q,@151388 Hey there! Congratulations on the achievement. You will earn the award within 9 days of completing the Activity Challenge.,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
17,52975,Ayo @AppleSupport - since updating to iOS11 my 7+ almost always dies around the 17/18% battery mark. Any solutions?,@127933 We'd like to take a closer look at your battery issues. DM us and we'll get started. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
18,187457,@AppleSupport the new update sucks. Do I need my cellular data on to send texts to non iPhone friends?,@159990 Messages to friends not using iPhones are sent through your cellular carrier via SMS/MMS. Here's more: https://t.co/IYLXaFXS3h,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
19,119473,@AppleSupport Thanks again. I can play some songs from the album but not certain ones. It’s the same on a few different albums with the same error message. Restarting my phone hasn’t fixed it,"@142507 We want to make sure we don't advise any steps that might result in downloaded songs being deleted. Try going to Settings &gt; [your name] &gt; iCloud and sign out. Then reboot, sign back in and try one of the same songs.",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
20,161247,@AppleSupport New ones.,@153197 Are you using the Reminders app to create these reminder alerts or Siri? Tell us in a DM. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
21,168898,@AppleSupport I have exhausted all options to try and sort an issue I have with my phone and not being able to download any new apps. I have only had this phone since June and I have been advised by someone in your support call team it’s a phone issue. Fix up Apple! I’m not happy,"@155301 Thanks so much for reaching back out. So we can look closer into this with you, reach out to us in DM using the link below and we'll continue from there. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
22,94824,"Hey @VerizonSupport @115858 your activation server is still broken, been trying for an hour. https://t.co/TgSbhaMkW6",@136602 We'd like to see if we can't help. Have you tested your username/password combo on a different device to double check you have it correct? Join us in DM and we'll go from there. https://t.co/GDrqU22YpT,account_access,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
23,123119,"Spent almost two hours on a chat with you guys, got transferred and a “Senior advisor” ended the chat on me after one message lol what a joke nothing resolved @AppleSupport",@143498 Thanks for reaching out. Have you been reconnected as of yet? Let us know in a DM and we'll continue. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
24,145266,@AppleSupport Only on my lock screen. Regularly. Have noticed this for many apps.,@148928 Which iOS version do you have installed? Does this persist after restarting?,device_or_software,Ask the customer to restart the device and share the outcome if the issue continues.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
25,107368,@AppleSupport my app suddenly is not working https://t.co/VkbBZsH8bW,@139845 We'd like to help. Have you tried using a Wi-Fi network to download the app? Let us know.,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
26,120671,@AppleSupport Well if that don't beat all. Much obliged. A+ customer service. 👍,"@142829 Happy we could help. If there's anything you need in the future, reach out. Take Care.",device_or_software,Direct the customer to the official Apple Support contact channel for case-specific assistance.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
27,48000,@126732 @AppleSupport look at this shit. I’m sick of it! Can’t type the letter I️ without all the extra bullshit!,"@126731 We know the importance of being able to type all letters and characters. In DM, please reply with your iOS version. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
28,168862,When your phone resets to factory settings just from trying to update it... I’m tight... @AppleSupport,@155294 We're happy to look into this with you. Please let us know if you created an up to date backup of your device before updating the iOS. We'll gladly look into your options to restore your data. https://t.co/GDrqU22YpT,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
29,90871,@135689 @115858 I stupidly upgraded my Mac to High Sierra this week. Ever since it's been slow and unresponsive! It's rubbish. Never had a problem with it before. Last time I upgrade early.,"@135688 We're here for you, and want assist with the unresponsiveness issues on the Mac. Can you see if the steps in this article help? https://t.co/IrKeo4E8fX",praise_or_other,Invite the customer to share more details with Apple Support so the request can be routed correctly.,true,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
30,145239,@AppleSupport helppppp. What is going on with my sound?!??! https://t.co/Rl3YHVIzPh,"@148916 We want to make sure you're able to hear things clearly with your Mac. Have you seen that issue with just YouTube videos, or other audio as well? Let us know in DM to continue. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
31,184563,@AppleSupport yooo! My phone freezes literally 70% on apps and gets stuck for half an hour to load. This is ridiculous.,"@159446 We want you to enjoy your iPhone; we'll do all we can to help. To get started, let us know your iOS version via DM: https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
32,103223,"@AppleSupport Thanks. Each time we release the depop app using phased rollout, a user sees the what’s new text when they go to the App Store, but the OPEN button shows and they can’t download the new version",@138711 Got it.  You will need to reach out to Developer Support here.  They will be happy to help.  https://t.co/LIrs0dB6kH,device_or_software,Direct the customer to the official Apple Support contact channel for case-specific assistance.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
33,42643,@AppleSupport Thank you. Twitter didn’t notify me of your reply :( so restored phone &amp; ok now. Was phone storage not iCloud.,"@125426 We're glad to hear the issue has since been resolved. Let us know if you have any further questions. Additionally, there may have been a new update to iOS 11. If you're not on iOS 11.1.1, we'd recommend backing up and updating to that latest version.",device_or_software,Ask the customer to check the relevant software update and provide device details for further troubleshooting.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
34,176990,@AppleSupport All of my pictures just deleted off my phone! My phone blacked and now allthr pictures are gone.,@118241 Let us help you get this sorted out. DM us so we can better assist you: https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
35,177034,In love with my beautiful #iPhoneX 😍 just arrived today. It'd be perfect if it weren't for that grueling speaker crackling and rattling. @115858 @116333 pls tell me you guys are going to fix this.,@157664 We want to help. DM us and we'll work from there. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
36,151562,@AppleSupport My iPhone X was delivered this morning. Four hours later my initial giddiness has been replaced with utter frustration as it won't get past the iOS 11.1.2 update install and verification. WTF is wrong here Apple? The worst iPhone install experience possible!,"@150619 Certainly not the experience we want you to have with your new iPhone X! Reach out to us via DM and let us know exactly what is currently displayed on the screen, then we can help out from there. https://t.co/GDrqU22YpT",delivery_or_order,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
37,90680,"#Apple #macOS users/geniuses HALP! 🍎 My computer won't work! I get the first screen of writing, then it tries to load, then the tiny writing in the top left hand corner, it repeats all this about 10 times, then the 🚫 symbol, then it shuts down 🤔😕 @AppleSupport https://t.co/zCZQV9FQyp",@135634 We'd like to help you with your Mac. Take a look at the steps and information here: https://t.co/rO42NAGDmI Let us know if you still need help.,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
38,31476,@115858 HELP how can I fix this problem immediately ? #Apple #iOS11 @AppleSupport,@122943 We've gotten your DM and will continue working with you there.,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
39,87005,@115948 the app crashes when you are navigating on the ‘you’ tab. Happened several times today @AppleSupport,@135036 Thanks for reaching out. We'd be happy to help. What device are you using Apple Music with?,subscription,Direct the customer to the relevant subscription settings or Apple Support channel for account-specific help.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
40,62273,My phone won’t stop turning off and freezing @AppleSupport !!!!,@130264 Let's look into this for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
41,146789,@115948 keeps crashing. Is not even opening now. @AppleSupport any suggestions?,@149323 We'd love to help out. What device are you currently using with Apple Music?,subscription,Direct the customer to the relevant subscription settings or Apple Support channel for account-specific help.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
42,57510,@116333 Question for you please. Why are the iPhone battery start to die when you still have 6 months left in your contract to go,@129049 We want to help. DM us more about your battery and we'll work from there. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
43,2632,And why is my music NEVER in my control center?! @AppleSupport,@116338 We're here to help out! Which device is this on and which version of iOS is currently installed?,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
44,143567,"New iPhoneX - no voice memo recoding, hangs every 3 days, no display for incoming calls and loads of other issues @115858 your solution... go to iRepair. Been there done it, twice over. No solution. Get ur act together","@148439 We'd like to look into this with you. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
45,35320,@AppleSupport after updating to iOS 11.0.3 my home screen turns black when on a call. What’s the fix? Cust care not helping.,@123698 We're here for you. Let's take a closer look at this issue together in DM. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
46,55946,"@AppleSupport Hi there, yes I have tried but still does this loading sign","@128689 Do you also have this app running on your iPhone? If yes, try quitting it and reinstalling it there as well.",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
47,26689,@AppleSupport 6s. 11.0.3.,@121844 Got it. Let’s complete the update to iOS 11.1. Here’s a link that will help: https://t.co/80YRnjDFDk,device_or_software,Ask the customer to check the relevant software update and provide device details for further troubleshooting.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
48,199399,@AppleSupport Backup and updated. Problem still persists. Got a video of the issue now.,@163005 What troubleshooting steps have you tried so far? Let us know in DM so we don't ask you to repeat anything. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
49,719,Tf is wrong with my keyboard @115858,"@115857 Fill us in on what is happening, then we can help out from there.",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
50,23107,"@AppleSupport All website. I can record with audio. The recording are playing well in Photos and the sound is ok. But when I import them in iMovie, the sound doesn’t follow. Only if I was in Safari when I made the screen recording",@121032 Is this iMovie for iOS or for the Mac?,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
51,84196,"@AppleSupport I have this problem with iPad Pro
https://t.co/erYianyQlK
But it does not do it all the time, so apple service does not recognize it.
What can I do?",@134516 Hi. We'd like to help with this. Check out this article for issues with your display not responding to touch: https://t.co/kQXBriN504 Still need help? DM us and we can take a closer look there. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
52,84275,@AppleSupport - Few Messages (sent &amp; received messages) doesn’t wrap in Message App on all iOS 11 versions and flows in one line. Pls look into this. @115858,@134544 Thanks for reaching out. We want to help. Reach out to us in a DM and we will work from there. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
53,159555,"@AppleSupport hello! i bought 8 new songs a few days ago and they were downloaded to my phone, but when i went to check today those songs weren’t there. i tried to download them again to my phone, and i tried restarting my phone &amp; they still won’t show up 🤷🏻‍♀️ https://t.co/JFt3rM8O6F","@152731 We’d like to look into this with you. To start, please send us a DM confirming which software version you’re using. You can tap Settings &gt; General &gt; About to locate the software version. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
54,52959,"@AppleSupport With the new update, turning on wi-fi disables data and we have to manually go through settings and turn it back on !  :( Help",@127928 We'd like to learn more about this situation. Send us a DM with all the details you can provide. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
55,193672,@118101 @AppleSupport can you help me?,@161539 We'd like to look into this with you to see how we can help. Connect with us in DM to get started: https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
56,109091,"In NYC.Have free data roaming. iPhone keeps losing 3G signal. If I turn airplane mode on and off again, I get 3G for about a minute, then lose it again.

Anyone any ideas for a fix?

@122326 @applesupport",@140213 We want to help. Please let us know which iPhone model and iOS version you are currently using.,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
57,58845,@AppleSupport most recent iPhone update switches WiFi &amp; Bluetooth on automatically. V.annoying! Is there a way to stop this? #ItAteMyBattery,@129400 This may be expected behavior. Check out this support page about how to use Control Center in iOS 11: https://t.co/G7BHuQnDS6,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
58,110879,I just can’t anymore.  @AppleSupport my Apple Music is crashing.  £15 down the drain becoz I can’t use it. Help!,"@140660 We're huge Apple Music fans ourselves, and want to ensure you're able to use your subscription. What exactly happens when you try to access Apple Music?",subscription,Direct the customer to the relevant subscription settings or Apple Support channel for account-specific help.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
59,188161,my phone just turned on and off by itself then deleted my entire camera roll @AppleSupport pls explain urself https://t.co/95YC0wzG0J,"@160152 We'd love to help! A few questions. Do you use iCloud Photo Library? Where do you make regular iPhone backups, iCloud or iTunes?",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
60,41610,@AppleSupport battery life on iOS 11.1 sucks. Really really bad.,@125151 Hello. Let's talk via DM and we'll check a few things together. Please tap here to continue? https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
61,103218,Yo @AppleSupport my iPhone just went from 100% to 20% in an hour. https://t.co/MxQ3zvOQXc,"@138709 Battery life is important, and we can help. To start, tell us the iOS version your iPhone is running, and we’ll take it from there.",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
62,112822,@AppleSupport Do you not have an email I could contact? I'm not really able to make a call with no phone..,"@141077 We can certainly understand your situation, though for security reasons a call is required. You may need to borrow a phone if possible to call in. You can even schedule a callback at you convenience using the link from before. Still have questions? DM us: https://t.co/GDrqU22YpT",privacy_or_security,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,true,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
63,84225,@AppleSupport @134527 Everyone’s fucking model is doing it. Even screenshotted I️t for you boys https://t.co/Osflkm7u2b,"@134526 Thank you for that screenshot. In DM, please let us know the iOS version you're using. You can find that under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
64,102363,"Dear @AppleSupport, the feature that is suppose to keep Live Photos off doesn’t work. A fix would be nice. Thanks!",@138471 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
65,55967,@AppleSupport Will you please put the texting from the photo app option back? It is super annoying having to get out of photos to txt a pic.,@128697 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
66,122316,@115858 why has my low power mode settings disappeared 🧐🤔help!... https://t.co/8Lg6UqkBl3,@143274 Let's look into this further with you. Have you tried restarting the Settings app or your iOS device?,device_or_software,Ask the customer to restart the device and share the outcome if the issue continues.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
67,188464,@AppleSupport iOS 11.0.1 but gonna install the New iOS 11.0.2 now,@160228 Sounds good. Let us know if the issue persists after updating.,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
68,121521,"@AppleSupport It happens spontaneously at times, but without fail happens every morning for at least 2-3 hours.","@143054 Thanks for letting us know. Is there a protective case or screen protector on your iPhone at this time? Also, this is occurring on iOS 11.1.2, correct?",device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
69,36670,"Disappointed with @115858 - phone that is only 1 1/2 years old dying for no reason...want to charge for a repair, shocking.",@123993 We want to help. Tell us more about what's happening in DM. https://t.co/GDrqU22YpT,refund_or_charge,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
70,208610,"@AppleSupport real issues with making phone calls since the update. They can’t hear me I can’t hear them. Battery replaced, still going on!",@165346 We're here to help! Which iPhone do you have and which version of iOS 11 is currently installed on it?,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
71,145258,screw an apple device instead of the consumer. 90 days of ordeal and still counting!!! @7396 @AppleSupport @115858 https://t.co/YpPyDmimVN,@148924 We'd like to hear more about what's happening and help any way we can. Please DM us a bit more detail about what's going on. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
72,173004,@156481 @AppleSupport Listen to her^,@156480 Thanks for reaching out to us about your iPhone becoming unresponsive. We'd like to help that. Please DM us the iOS version from Settings &gt; General &gt; About and we'll pickup our conversation there. https://t.co/GDrqU22YpT,device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
73,63219,@AppleSupport The 7plus and whichever the last iOS 10. I️ haven’t updated to the iOS 11 yet but I’ve heard that doesn’t resolve my issue,"@130505 OK, got it. Let's move over to DM so we can look into this a bit further. https://t.co/GDrqU22YpT",device_or_software,Ask the customer to contact Apple Support by DM with the relevant details so the case can be investigated privately.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
74,146638,@AppleSupport I updated my Apple ID to an iCloud address and PayPal is no longer available as a payment option in the iTunes &amp; App Store settings. Is this connected? I’m in the UK.,@149286 Let's get to the bottom of this together. Are you part of a Family Sharing group? Did you make any other changes to your Apple ID?,refund_or_charge,Ask for the purchase details through a private Apple Support channel so the charge can be reviewed.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
75,98835,@AppleSupport Got it! https://t.co/d1lUn9SWeR,@137632 Awesome! Please let us know if you have any other issues or questions.,device_or_software,"Ask for the device model, software version, and issue details so Apple Support can troubleshoot.",false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
76,152818,Predictive text fail.  No = Slime Man??? Is this April 1st? Help me with this @115858 !! https://t.co/FwfNPhhB9V,@150952 We’re glad to help with your predictive text. Let’s start by checking if you have a text replacement. Go ahead and use these steps to check and let us know what you find: https://t.co/U5VKSTl2CD,praise_or_other,Invite the customer to share more details with Apple Support so the request can be routed correctly.,true,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
77,48004,Bu ne biçim Afyonkarahisar @AppleSupport @115858 https://t.co/P2CwBS6E4l,@126733 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,device_or_software,Direct the customer to the official Apple Support contact channel for case-specific assistance.,false,AI-assisted initial label from customer text and linked AppleSupport reply; human audit required before submission.
